Credit Number,Region,Country,Credit Status,Service Charge Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IDA,First Repayment Date,Last Repayment Date,Agreement Signing Date
IDA00010,LATIN AMERICA AND CARIBBEAN,Honduras,Fully Repaid,0.75,USD,P007335,WESTERN HIGHWAY,9000000,572026.03,0,8427973.97,8427973.97,09/01/1971,01/03/2011,12/05/1961
IDA00020,AFRICA EAST,Sudan,Repaying,0.75,USD,P002553,ROSEIRES IRRIGATION,15509696.87,633197.93,0,14876498.94,14876498.94,07/15/1971,15/01/2011,14/06/1961
IDA00030,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009610,HIGHWAYS,72112713.47,530000,0,71582713.47,71582713.47,08/15/1971,15/02/2011,21/06/1961
IDA00040,LATIN AMERICA AND CARIBBEAN,Chile,Fully Repaid,0.75,USD,P006585,ROAD CONSTRUCTION,22878919.07,2244.58,0,22876674.49,22876674.49,12/01/1971,01/06/2011,28/06/1961
IDA00050,LATIN AMERICA AND CARIBBEAN,Colombia,Fully Repaid,0.75,USD,P006701,ROAD CONSTRUCTION,23480995.92,0,0,23480995.92,23480995.92,12/01/1971,01/06/2011,28/08/1961
IDA00060,EAST ASIA AND PACIFIC,"Taiwan, China",Fully Repaid,0.75,USD,P003658,HARBOR DREDGING,2649441.01,21731.53,0,2627709.48,2627709.48,03/15/1972,15/09/2011,30/08/1961
IDA00070,EAST ASIA AND PACIFIC,"Taiwan, China",Fully Repaid,0.75,USD,P003656,GROUND WATER DEVT,4115989.22,1668668.63,0,2447320.59,2447320.59,03/15/1972,15/09/2011,30/08/1961
IDA00080,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009612,TUBEWELL IRRIGATION,7222066.3,0,0,7222066.3,7222066.3,11/01/1971,01/05/2011,06/09/1961
IDA00090,EAST ASIA AND PACIFIC,"Taiwan, China",Fully Repaid,0.75,USD,P003659,MUNICIPAL WATER SUPP,5215362.64,417029.8,0,4798332.84,4798332.84,03/15/1972,15/09/2011,06/09/1961
IDA00100,LATIN AMERICA AND CARIBBEAN,Costa Rica,Fully Repaid,0.75,USD,P006900,ROAD CONSTRN & MAINT,6428899.07,949757.55,0,5479141.52,5479141.52,11/01/1971,01/05/2011,13/10/1961
IDA00110,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P009335,DACCA IRRIGATION,1036175.11,814348.45,0,221826.66,221826.66,04/01/1972,01/10/2011,19/10/1961
IDA00120,LATIN AMERICA AND CARIBBEAN,Paraguay,Fully Repaid,0.75,USD,P007849,HIGHWAY IMPROVT & MA,7228256.66,0,0,7228256.66,7228256.66,02/15/1972,15/08/2011,26/10/1961
IDA00130,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009613,SHETRUNJI IRRIGATION,5193156.02,1114258.29,0,4078897.73,4078897.73,04/15/1972,15/10/2011,22/11/1961
IDA00140,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009614,SALANDI IRRIGATION,9536139.58,496000,0,9040139.58,9040139.58,04/15/1972,15/10/2011,22/11/1961
IDA00150,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009615,PUNJAB FLOOD CONTROL,12051853.61,0,0,12051853.61,12051853.61,05/15/1972,15/11/2011,22/11/1961
IDA00160,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P009336,INLAND PORTS PROJECT,2067068.97,1654215.55,0,412853.42,412853.42,04/01/1972,01/10/2011,22/11/1961
IDA00170,EAST ASIA AND PACIFIC,"Taiwan, China",Fully Repaid,0.75,USD,P003657,CHINA DEVELOPMENT CO,6001266.43,118853.68,0,5882412.75,5882412.75,03/15/1972,15/09/2011,01/12/1961
IDA00180,MIDDLE EAST AND NORTH AFRICA,Jordan,Fully Repaid,0.75,USD,P005239,AMMAN WATER SUPPLY,2306230.51,500000,0,1806230.51,1806230.51,11/15/1971,15/05/2011,22/12/1961
IDA00190,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009620,DURGAPUR POWER EXTEN,21883934.27,2004294.48,0,19879639.79,19879639.79,08/01/1972,01/02/2012,14/02/1962
IDA00200,AFRICA EAST,Eswatini,Fully Repaid,0.75,USD,P002648,HIGHWAY CONSTRUCTION,3373186.4,0,0,3373186.4,3373186.4,05/01/1972,01/11/2011,14/03/1962
IDA00210,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009616,SONE IRRIGATION,18086117.32,0,0,18086117.32,18086117.32,01/01/1973,01/07/2012,29/06/1962
IDA00220,SOUTH ASIA,Pakistan,Fully Repaid,0.75,USD,P010021,KHAIRPUR IRRIGATION,21154433.73,2667881.54,0,18486552.19,18486552.19,01/01/1973,01/07/2012,29/06/1962
IDA00230,SOUTH ASIA,India,Fully Repaid,0.75,USD,P009623,PURNA IRRIGATION,15674635.09,0,0,15674635.09,15674635.09,01/01/1973,01/07/2012,18/07/1962
